Airport Identifier,FBO Name,City,State,0 - Jet A Retail,1 - CAA Price 1-500,2 - CAA Price 501-1000,3 - CAA Price 1001-1500,4 - CAA Price 1501-2000,5 - CAA Price 2001-2500,6 - CAA Price 2501 or more,7 - CAA Price 3501-4500,8 - CAA Price 4501-5500,9 - CAA Price 5501 or more
KGYI,Rise Aviation,Denison,TX,5.69,4.75,4.50,4.15,4.15,4.15,4.15,,,
KHOU,Wilson Air Center,Houston,TX,6.89,3.57,3.57,3.47,3.47,3.36,3.36,,,
KHRL,Sun Valley Aviation,Harlingen,TX,5.05,3.61,3.59,3.56,3.51,3.51,3.51,,,
KLBB,Million Air Lubbock,Lubbock,TX,6.13,4.86,4.66,4.45,4.39,4.24,4.13,,,
KODO,Ector County Odessa Schlemeyer Field,Odessa,TX,4.57,4.22,4.15,4.09,4.03,3.97,3.91,,,
KPEQ,"Crosby Flying Services, LLC",Pecos,TX,5.50,4.49,4.49,4.49,4.49,4.31,4.31,,,
KPVW,Tradewind FBO,Plainview,TX,4.08,3.53,3.51,3.48,3.46,3.44,3.42,,,
KRBD,Ambassador Jet Center,Dallas,TX,5.15,3.78,3.78,3.68,3.68,3.57,3.57,,,
KSAT,Million Air,San Antonio,TX,8.76,4.30,4.25,4.20,4.15,4.10,4.05,,,
KSJT,San Angelo Jet Center,San Angelo,TX,5.36,3.76,3.69,3.62,3.56,3.51,3.46,,,
KTDW,Tradewind FBO,Amarillo,TX,4.83,4.16,4.12,4.02,3.98,3.94,3.90,,,
KTRL,Apex Aero Center,Terrell,TX,4.71,3.88,3.88,3.88,3.88,3.88,3.88,,,
KTYR,Johnson Aviation,Tyler,TX,4.35,3.84,3.84,3.84,3.84,3.84,3.84,,,
KUVA,Uvalde Flight Center,Uvalde,TX,5.39,4.64,4.59,4.54,4.49,4.44,4.34,,,
KBTF,Skypark Airport,Woods Cross,UT,5.79,4.14,4.14,4.14,4.14,4.14,4.14,,,
KENV,Wendover Airport,Wendover,UT,5.94,4.01,3.91,3.80,3.80,3.80,3.80,,,
KPVU,Duncan Aviation,Provo,UT,6.45,4.98,4.88,4.78,4.68,4.58,4.48,,,
KSGU,Sandstone Aviation,St. George,UT,4.47,4.08,4.03,3.98,3.98,3.98,3.98,,,
KSPK,Utah Aviation,Spanish Fork,UT,6.20,5.10,4.95,4.86,4.75,4.75,4.75,,,
KHEF,APP Jet Center,Manassas,VA,5.59,4.03,4.03,3.98,3.98,3.93,3.93,,,
KJYO,Kuhn Jet Center,Leesburg,VA,5.61,4.73,4.68,4.63,4.58,4.53,4.48,,,
KOKV,Winchester Aviation,Winchester,VA,5.76,4.10,3.98,3.78,3.74,3.69,3.69,,,
KPVG,Hampton Roads Executive Airport,Chesapeake,VA,4.99,4.55,4.55,4.55,4.55,4.55,4.55,,,
TIST,Standard Aviation LLC,St. Thomas,VI,5.66,4.81,4.81,4.81,4.81,4.81,4.81,,,
TISX,Bohlke International Aviation,St. Croix I,VI,6.53,5.27,5.06,5.01,4.96,4.91,4.86,,,
KBFI,Skyservice,Seattle,WA,5.43,4.32,4.32,4.14,4.14,3.98,3.98,,,
KELN,"Aviation Services, LLC",Ellensburg,WA,5.90,4.71,4.60,4.50,4.39,4.33,4.28,,,
KGEG,Aero Center Spokane,Spokane,WA,7.16,5.32,5.18,5.07,5.07,5.07,5.07,,,
KSFF,Aero Center,Spokane,WA,7.50,5.48,5.34,5.34,5.34,5.34,5.34,,,
KTIW,Narrows Aviation,Gig Harbor,WA,5.49,4.84,4.73,4.51,4.40,4.40,4.40,,,
KENW,Stein's Aircraft Services,Kenosha,WI,5.04,3.77,3.77,3.72,3.72,3.67,3.67,,,
KGRB,Jet Air Group,Green Bay,WI,5.10,4.05,3.99,3.92,3.92,3.92,3.92,,,
KJVL,Revv Aviation,Janesville,WI,5.95,3.94,3.89,3.84,3.79,3.74,3.69,,,
KMKE,Avflight Milwaukee Corporation,Milwaukee,WI,5.24,4.58,4.58,4.53,4.53,4.53,4.53,,,
KRNH,East Metro Jet Center,New Richmond,WI,5.99,3.79,3.79,3.48,3.48,3.48,3.48,,,
